node attribute,position,V point,V wave,video index
1.0,821.86865£¬417.57373,121.5£¬-25.114,147.86865£¬51.57373,12
1.0,1045.1145£¬333.93558,10.5£¬33.774,10.114502£¬12.935577,12
1.0,962.6301£¬716.12103,49.5£¬-0.866,67.63013£¬58.121033,12
-1.0,590.5716£¬575.38434,12.5£¬18.186,-115.428406£¬-119.61566,12
1.0,734.3£¬431.17847,77.0£¬13.856,73.29999£¬66.17847,12
-1.0,615.65643£¬565.91797,10.5£¬58.022,-37.343567£¬-66.08203,12
1.0,675.5393£¬547.69226,77.5£¬-14.722,259.5393£¬41.69226,12
1.0,1032.7065£¬339.7669,-33.5£¬12.989999999999998,-14.293457£¬16.766907,12
-1.0,1376.3519£¬540.18085,-22.0£¬-34.64,18.351929£¬6.180847,12
-1.0,419.37146£¬734.9607,33.0£¬-36.372,-202.62854£¬38.960693,12
-1.0,676.64667£¬598.9994,11.0£¬-10.392,-44.736572£¬-0.36279297,13
1.0,632.8603£¬640.3453,74.0£¬-3.464,40.34735£¬29.023499,13
-1.0,103.388725£¬271.49695,-5.0£¬-1.7319999999999998,34.515717£¬13.967377,13
-1.0,1050.9347£¬645.9399,-5.5£¬-25.114,64.79352£¬58.368835,13
1.0,1147.5663£¬-5.8712425,-0.5£¬0.866,5.4176025£¬107.47371,13
-1.0,1073.2151£¬551.63934,33.5£¬-21.650000000000002,-4.0267334£¬8.977661,13
1.0,1089.9535£¬469.20117,25.5£¬-26.846,7.6956787£¬-56.852173,13
1.0,318.79495£¬269.81744,29.5£¬-23.382,9.001678£¬-10.831818,13
1.0,1030.8123£¬292.97543,-9.5£¬-0.8659999999999997,-108.965576£¬-25.286438,13
-1.0,217.09697£¬295.50787,9.0£¬0.0,-22.371277£¬-8.439209,13
-1.0,759.16235£¬302.69098,21.0£¬38.104,2.7944946£¬-73.87616,13
1.0,1116.7823£¬561.59906,40.0£¬12.123999999999999,65.76697£¬16.203125,13
1.0,721.96405£¬503.47278,56.0£¬1.732,71.284546£¬-61.000793,13
1.0,963.47064£¬752.05176,19.5£¬14.722,74.15497£¬107.55493,13
1.0,781.16455£¬472.3352,43.5£¬7.7940000000000005,126.05469£¬-14.564514,13
-1.0,690.2253£¬636.9794,-23.0£¬-29.444,3.5166016£¬64.793335,13
1.0,1297.6024£¬552.93994,26.5£¬11.258000000000001,41.248657£¬40.494263,13
1.0,762.1826£¬674.07837,74.5£¬12.99,116.74103£¬47.468994,13
-1.0,514.241£¬375.8294,96.0£¬-1.7319999999999998,-21.354736£¬22.232086,13
1.0,574.1034£¬426.22083,75.5£¬23.382,51.99005£¬7.5887756,13
-1.0,659.9333£¬740.3604,61.0£¬-22.516000000000002,-73.13318£¬52.94464,13
-1.0,1131.4475£¬474.6921,-6.5£¬12.99,-13.476807£¬-48.602203,13
1.0,621.69037£¬497.48123,62.0£¬-8.66,43.278503£¬-54.62668,13
-1.0,1294.5962£¬452.3165,-53.0£¬41.568,49.44751£¬-30.872528,13
1.0,1069.6362£¬540.9692,126.0£¬-62.352000000000004,89.5473£¬-16.004272,13
1.0,844.13586£¬467.80545,78.5£¬-71.878,174.06445£¬-33.521393,13
1.0,1046.0259£¬337.20676,38.0£¬36.372,1.8184814£¬4.320709,13
1.0,652.7387£¬508.54346,72.0£¬-10.392,6.7505493£¬-1.2120056,13
1.0,917.65424£¬701.6524,101.0£¬0.0,128.51276£¬100.18463,13
1.0,999.99054£¬742.34247,25.0£¬0.0,187.33203£¬139.89447,13
1.0,664.19476£¬558.6514,23.0£¬-25.98,56.495667£¬-61.232605,13
-1.0,579.0457£¬506.48285,65.0£¬-27.712,-75.66614£¬-3.94635,13
1.0,650.3107£¬581.0572,30.5£¬-19.918,53.464783£¬-41.078186,13
1.0,717.27313£¬564.6043,59.0£¬-13.856,129.11676£¬15.775024,13
1.0,1187.4694£¬451.1622,-52.0£¬3.4640000000000057,-4.972168£¬3.4120178,13
-1.0,1034.5437£¬343.12378,0.0£¬-8.66,1.2145996£¬4.9323425,13
1.0,1379.1558£¬529.8218,2.5£¬0.8659999999999999,92.56384£¬19.01828,13
1.0,764.0927£¬448.81616,39.0£¬-24.248,70.0741£¬-26.800568,13
-1.0,1117.1572£¬135.21892,9.5£¬4.33,-12.97998£¬-4.0754395,13
-1.0,443.14127£¬709.30817,63.0£¬-1.732,-185.33542£¬197.53482,13
-1.0,-79.62877£¬190.10617,4.0£¬0.0,-39.389786£¬-12.698395,13
1.0,507.0166£¬210.90201,-4.5£¬7.794,-9.149902£¬32.749268,14
1.0,1056.82£¬676.36194,0.0£¬10.392,38.272827£¬59.435486,14
-1.0,948.3004£¬766.7846,-32.0£¬-20.784,10.817017£¬50.659424,14
1.0,1094.4148£¬472.0862,73.5£¬-33.774,16.921387£¬-24.3544,14
1.0,1133.2465£¬186.49132,-6.0£¬3.464,-33.032715£¬5.4047546,14
1.0,1119.7803£¬468.19354,50.5£¬-6.062,29.950684£¬-12.885071,14
1.0,260.59705£¬241.17546,-34.0£¬-20.784,-50.761078£¬-40.406815,14
-1.0,605.40674£¬318.7979,5.5£¬-12.99,-13.948242£¬45.880127,14
1.0,205.75122£¬271.80978,-1.5£¬-2.598,-4.1804504£¬-42.830627,14
-1.0,56.62845£¬264.55048,27.5£¬-2.598,-13.326004£¬10.655991,14
1.0,775.4677£¬317.19653,35.0£¬27.712,35.39447£¬18.310516,14
1.0,730.2515£¬505.0105,29.0£¬0.0,12.659668£¬12.212982,14
-1.0,951.63885£¬762.7528,-58.0£¬-39.836,13.139587£¬34.295837,14
